Cloudian - Eye of the Typhoon,
Flying Fortress SKY FIRE,
Burning Skull Head,
Final Psychic Ogre,
Success Probability 0%,
Soul Hunter,Foil
Swamp Battleguard,
Sword Hunter,
Zombyra the Dark,
Spirit Ryu,
Cranium Fish,
Salvage Warrior,
Steel Ogre Grotto #2,
Burning Land,
Token Thanksgiving,
Dust Barrier,
Fulfuillment of the Contract,
Hero Flash!!,
Shift,
Human-Wave Tactics,Foil
Number 14: Greedy Sarameya,
Nopenguin,
Sharkraken,
Cockadoodledoo,Foil
Megalith Phaleg,
Princess of Tsurugi,
Mermaid Archer,
Dark Spider,
Rage of the Deep Sea,
Performapal Elephammer,
Shiranui Smith,
Kuro-Obi Karate Spirit,
Grappler,
Wings of Wicked Flame,
Ancient Brain,Foil
Gadget Soldier,
Pitch-Black Power Stone,
Weed Out,
Hero Counterattack,
Spell Reclamation,
The Fang of Critias,
Gemini Imps,
Shield Worm,Foil
Abyss Warrior,
Elementsaber Lapauila,
Damage Diet,
Pendulum Hole,
Kiseitai,
3-Hump Lacooda,
Familiar Knight,
Blazing Hiita,
Chrysalis Larva,
Yamatano Dragon Scroll,
Man Eater,
Kurama,
Launcher Spider,
Telekinetic Power Well,
Breaking of the World,
Grave Lure,
Jar of Generosity,
Sinister Serpent,
Gate Guardian,
Cloudian - Nimbusman,Foil
Centerfrog,
D/D Proud Ogre,
My Body as a Shield,
Detonate,
Winged Minion,
Chrysalis Pinny,
Handcuffs Dragon,Foil
Piercing Moray,
Eagle Shark,
Cluster Congester,
Flame Manipulator,
Jade Insect Whistle,Foil
Spirit Burner,
Metal Detector,
Royal Writ of Taxation,
Shield Spear,
Defensive Tactics,
"Burner, Dragon Ruler of Sparks",
Emperor Maju Garzette,
Magic Hole Golem,
"World Legacy - ""World Armor""",
Noblke Knight Pellinore,
Performage Mirror Conductor,
Man-eating Black Shark,
Elemental HERO Inferno,
Berfomet,
Chrysalis Pantail,
Super Defense Robot Monki,
Artifact Failnaught,
Assault Blackwing - Kunai the Drizzle,
Performapal Radish Horse,
Claw Reacher,
Madjinn Gunn,
Acrobat Monkey,
Noble Knight Artorigus,
Suppression Collider,
Centrifugal Field,
Legion the Fiend Jester,Foil
Blast Asmodian,
Damage Eater,
"World Legacy - ""World Armor""",
Mask of Dispel,
Des Dendle,
Rocket Jumper,
Absorbing Kid from the Sky,
Hunter Owl,
Perditious Puppeteer,
Rodenut,
Dotedotengu,
Artifact Failnaught,Foil
Arlownay,
Queen Bird,Foil
Contact,
Creature Seizure,
Frightfur Reborn,Foil
Destiny Mirage,
Contract Laundering,
Mask of Brutality,
Secret Barrel,
Cobra Jar,
Shadowslayer,
Hunter Owl,
Jawsman,Foil
Crashbug X,
Saambell the Summoner,
Noble Knight Eachtar,
Great White,
Tiger Axe,
Mystical Capture Chain,
Necrolander The Time-lord,
Stuffed Animal,Foil
Giant Red Seasnake,
Rock Spirit,
Fake Hero,
Wonder Clover,
Gemini Trap Hole,
Miracle Locus,
Single Purchase,
Dark Spcorpion - Meanae the Thorn,
Goblin Recon Squad,
Caligo Claw Crow,Foil
Baby Raccoon Ponpoko,
Wetlands,
Punished Eagle,
Dreamsprite,
Bowganian,
Performapal Skeeter Skimmer,
D/D Berfomet,
Garbage Collector,
Texchanger,
Gorgon Egg,Foil
V-Tiger Jet,
Fusion Weapon,
Ritual Weapon,Foil
Token Sundae,
Trap Reclamation,
Battle Teleportation,
"Number 23: Lancelot, Dark Knight of the Underworld",
Transmigration Break,
Skilled Dark Magician,
Goblin Thief,
Sabatiel - The Philosopher's Stone,
Linkerbell,
Maiden of the Aqua,
Getsu Fuhma,
Combo Fighter,
Combo Master,
Darklon,
Mecha Phantom Beast Harrliard,
Satellarknight Rigel,
Bio Plant,
Shovel Crusher,Foil
Rain of Mercy,
The Dark Door,
The Second Sarcophagus,
Miniaturize,
Graydle Split,
Big Belly Knight,
Cyber Tutubon,Foil
Stardust Shimmer,
Swords of Burning Light,
Mimiclay,Foil
Token Feastevil,
Pinpoint Guard,
Renewal of the World,
The Creator Incarnate,
Machina Soldier,
Disciple of the Forbidden Spell,
Ground Spider,
Spawn Aligator,
Changer Synchron,
Performapal Skeeter Skimmer,
Performapal Lebellman,
Oppressed People,
Graceful Dice,
Combination Attack,
Fusion Weapon,
Gale Dogra,
Cracking Dragon,
Bownty,Foil
Gearfried the Iron Knight,
Xyz Override,
World Legacy Bestowal,Foil
Elemental HERO Necroid Shaman,
Winged Minion,
Blood Sucker,
Chrysalis Dolphin,
Gemini Lancer,
Destiny HERO - Dunker,
Shield Warrior,
Genex Gaia,
Ignkight Squire,
Rock Ogre Grotto #1,
Simultaneous Loss,
Offering to the Immortals,
Darkfall,
Ghosts From the Past,
Archfiend's Ascent,
Ultimate Insect LV3,
Ancient Dragon,
Warrior Elimination,
Level Limit - Area B,Foil
Prideful Roar,
Leghul,
Royal Keeper,
Elemental HERO Knospe,
Man Beast of Ares,Foil
Worm Dimikles,
Sea Lancer,
Fire Kraken,
Contract with the Dark Master,
The Big March of Animals,Foil
Spell Calling,Foil
Domino Effect,
Mind Haxorz,
Zero Force,
Three of a Kind,
Mystical Refpanel,
Gemini Elf,Foil
Twin-Headed Behemoth,
Helping Robot for Combat,
Gearfried the Swordmaster,
Performapal Kaleidoscorp,
Wattaildragon,
Acid Rain,
Dream Clown,
Maryokutai,
Bone Crusher,
Photon Slasher,
Labyrinth Wall,
Kanikabuto,
Bolt Penguin,
Snakeyashi,
Hyosube,Foil
Lighten the Load,
Card Rotator,
Elemental Burst,
Fire Princess,
Hushed Psychic Cleric,
Castle Link,
Defense Draw,
Side Effects?,Foil
Blast Juggler,
Mushroom Man #2,
Vampire Lady,
Gravi-Crush Dragon,
Big Insect,
Terra the Terrible,
Two-Mouth Darkruler,
Pot the Trick,
The Portrait's Secret,
Rising Air Current,
Trial of the Princesses,
Linear Accelerator Cannon,
Aquarium Set,
Disarmament,
Elemental Absorber,
Thunder Sea Horse,
Hope for Escape,
Number 52: Diamond Crab King,
The Fiend Megacyber,
Galaxy Serpent,
After the Storm,
Blasting Fuse,
Pixie Ring,
Two Thousand Needles,Foil
Cyber Esper,
Magnetic Mosquito,
Gladiator Beast Lanista,
Performapal Lizardraw,
Metalfoes Silverd,
Dark Shade,
The Secret of the Bandit,
Talisman of Trap Sealing,
Level Tuning,
Judgment of the Desert,
Dark Advance,
Blowback Dragon,Foil
Great Poseidon Beetle,
Interplanetarypurplythorny Beast,Foil
Meteor of Destruction,
Amulet of Ambition,Foil
Common Charity,
White Magical Hat,
Flash Assailant,
Gale Lizard,
Machina Defender,
Reborn Zombie,
Sand Moth,Foil
Blackwing - Fane the Steel Chain,
Giant Soldier of Stone,
That Which Feeds on Life,Foil
Green Phantom King,
Boo Koo,
Insect Knight,
Cestus of Dagla,
Mystic Probe,
Wattaildragon,
Spell Vanishing,Foil
Dice It,
Susa Soldier,
Susa Soldier,
Koitsu,
Roc from the Valley of Haze,
Lost Guardian,Foil
Destiny HERO - Doom Lord,
Blizzard Warrior,
Magna Drago,
Twin-Shield Defender,
Stinging Swordsman,
Performapal Lizardraw,
Performapal Radish Horse,
Performapal Radish Horse,
Cold Feet,
Two-Pronged Attack,
Archfiend's Roar,Foil
Intercept,
"Reactan, Dragon Ruler of Pebbles",
D.D. Jet Iron,
Poison of the Old Man,
Dark Scorpion Combination,Foil
Graceful Revival,
Shiranui Style Samsara,
The Hunter with 7 Weapons,
Dark Driceratops,
Raging Earth,Foil
Wingtortoise,
Petit Dragon,
Dark Assailant,
Mech Bass,
Steel Ogre Grotto #2,
Neo the Magic Swordsman,
Grand Tiki Elder,Foil
Island Turtle,
Elf's Light,
Soul Resurrection,
Chain Burst,
Sword Breaker,Foil
Turret Warrior,
Anarchist Monk Ranshin,
Escher the Frost Vassal,
D/D/D Dragon King Pendragon,
Shadow Spell,
Froggy Forcefield,
Combo Fighter,
Twin-Sword Marauder,
Blackwing - Pinaki the Waxing Moon,
Link Streamer,
Illusionist Faceless Mage,
Great Bill,
Headless Knight,
Gaia Power,
Branch!,
Poison Chain,
Prevention Star,
Black -Winged Strafe,
Doppelganger,
Number 45: Crumble Logos the Prophet of Demolition,
Elemental HERO Steam Healer,
Newdoria,
Phantom Beast Wild-Horn,
Blizzard Dragon,Foil
Galaxy Serpent,
Heavy Slump,
Unbreakable Spirit,
Hungry Burger,
Fire Sorcerer,
Outstanding Dog Marron,
Reed Butterfly,
Ignoble Knight of Black Laundsallyn,
Sorcerer of the Doomed,
Synchro Change,
Soundproofed,
Trojan Blast,
Terrible Deal,
Shield Spear,
Trap Reclamation,Foil
Gemini Elf,
Mudora,
Lee the World Chalice Fairy,
"Prometeor, the Burning Star",
D/D Evil,
Mystery Shell Dragon,
Leeching the Light,Foil
Black and White Wave,
Seven Tools of the Bandit,
Curse of Darkness,Foil
Cry Havoc!,
Tuner's Scheme,
Face-Off,
Giant Axe Mummy,
Crimson Ninja,
Earthquake Giant,
Lord of Zemia,
Wing Egg Elf,
Incaandescent Ordeal,
Foolish Return,
Exchange,
Fortress Whale,
Command Knight,
Unibird,
Sage's Stone,
Discord,
Free-Range Monsters,
Element Magician,
Gladiator Beast Torax,
Creepy Coney,
Gouki Moonsault,
Mechanical Snail,
Crowned by the World Chalice,
Block Attack,Foil
Soul Reversal,
Black-Winged Strafe,
Cynet Universe,
Level Limit - Area A ,Foil
Synchro Deflector,
Orcustrated Attack,
Cross Over,
Helpoemer,
Maiden of Macabre,
D/D/ Proud Ogre,
Psychic Wave,
Backup Soldier,
The Eye of Truth,
Aqua Dragon,
Nuvia the Wicked,
Winged Minion,Foil
Iron Chain Snake,
Elder of the Six Samurai,
Armored Lizard,
The 13th Grave,
Guardian of the Labyrinth,
Ushi Oni,
Creature Seizure,
Acidic Downpour,Foil
Orcustrated Core,
Orcustrated Release,
Makyura the Destructor,
Phantom Beast Thunder-Pegasus,
Machine Lord Ur,
Digial Bug Websolder,
Kuribee,
Wetlands,
Mirage Dragon,
Medusa Worm,
Stray Asmodian,
Chrysalis Mole,
Phoenixian Seed,
Artifact Labrys,
Amorphage Lechery,
Grappler,
"30,000-Year White Turtle",
Dragon Treasure,
Lightning Blade,
Ekibyo Drakmord,
A Feint Plan,
Disarmament,
Clear Vice Dragon,
Archfiend Empress,
Tin Archduke,
Underworld Fighter Balmung,
Cloudian - Storm Dragon,Foil
Tripod Fish,
Mega Ton Magical Cannon,
Amphibious Bugroth,
Pumpking the King of Ghosts,
Moai Interceptor Cannons,
Grave Ohja,Foil
Cloudian - Ghost Fog,
Kurivolt,
Woodborg Inpachi,
Chamberlain of the Six Samurai,
Spiritualism,
Opti-Camouflage Armor,
Return of the Six Samurai,
Inzektor Orb,Foil
One or Eight,
Berserk Dragon,
Power Filter,
Different Dimension Gate,
D.D. Designator,
Dark Scorpion Combination,
Dark Mimic LV1,
Nobleman-Eater Bug,
Proto-Cyber Dragon,
Playful Possum,
Performapal Ballad,
Stone Armadiller,
Yormungarde,
Mystical Moon,
Stim-Pack,
Luminous Spark,
D.D. Borderline,
Xyz Energy,
Hero Counterattack,
Slip Summon,Foil
Orcustrated Attack,Foil
Magical Android,
Black Tyranno,
Cyber Gymnast,
Guerilla Kite,
Zoodiac Ramram,
Fire Opal Head,
Otohime,Foil
Outstanding Dog Marron,Foil
Royal Knight,
Black Ptera,
Bone Crusher,
Rhinotaurus,
Shocktopus,
Performapal Bowhopper,
Dokuroizo the Grim Reaper,
Shiranui Style Synthesis,
Beast Soul Swap,
Chthonian Blast,
Blackwing - Boobytrap,
Inspiration,
Ojama Pajama,
Galaxy Serpent,
Emergency Provisions,
White Magical Hat,
Blindly Loyal Goblin,
Fear from the Dark,
Arcane Archer of the Forest,
Mormolith,
Skreech,
Shien's Advisor,
Cluster Congester,
Crazy Fish,
Takuhee,
Beckoned by the World Chalice,
Double Snare,
Hero Flash!!,
Rocket Pilder,
Skull Dice,
Secrets of the Galllant,
Explosive Urchin,Foil
Messenger of Peace,
The Legendary Fisherman,
Aquaactress Arowana,Foil
Performapal Momoncarpet,
Hayabusa Knight,
Second Goblin,
Sand Gambler,
Hade-Hane,Foil
Kangaroo Champ,
Link Streamer,
Doron,
Dark Assailant,
The Illusory Gentleman,
Soul of the Pure,
The Warrior Returning Alive,
Spellbook Organization,
Foolish Return,
World Legacy's Heart,
Counter Counter,
Oh F!sh!,
Decode Talker,
Troposphere,
Djinn Demolisher of Rituals,
Terminal World,Foil
Xyz Gift,
Half Counter,
Brutal Beast Battle,
Deepsea Shark,Foil
Woodland Archer,
Overlay Eater,Foil
Morpho Butterspy,
Battle Steer,Foil
Horn Imp,Foil
Battle Warrior,
Hero of the East,
Ancient Jar,
Behegon,
Paralyzing Chain,
Life Absorbing Machine,
Ritual Buster,
Anti-Magic Arrows,
World Legacy Clash,
Photon Papilloperative,Foil
Lion Alligator,
Cry Havoc!,
Elemental HERO Necroid Shaman,
Elemental HERO Inferno,
"Demise, Agent of Armageddon",
Teva,Foil
Unshaven Angler,
Jawsman,Foil
Mimimic,
Chow Chow Chan,
Performapal Coin Dragon,
Hitotsu-Me Giant,
Alligator's Sword,
Wingweaver,
Skull Dog Marron,
Anti-Spell,
Miracle Locus,
Mine Mole,
Doriado's Blessing,Foil
Mind Over Matter,
Zombie Warrior,Foil
Magical Plant Mandragola,Foil
The Trojan Horse,
Metal Shooter,
Kunoichi,
Performapal Changeraffe,Foil
Temple of Skulls,
Last Day of Witch,
The Reliable Guardian,
Ritual Weapon,
NEX,
Cursed Bill,Foil
Painful Return,
Infinite Dismissal,
Trap Reclamation,
Subsurface Stage Divers,
Guardragon Corewakening,
Dark Highlander,
Supermagic Sword of Raptinus,
Number 52: Diamond Crab King,
Phantom Beast Thunder-Pegasus,
"Rose, Warrior of Revenge",
Pahunder,Foil
Sextet Summon,
Performapal Show Down,
Desertapir,
Royal Knight,
Immortal Ruler,
Samurai Sword Baron,
Tenshin,
Performapal Handstandaccoon,
Parrot Dragon,
Kishido Spirit,
Tricky Spell 4,
Ballista of Rampart Smashing,
Solar Ray,
Attack of the Cornered Rat,Foil
Number C80: Requiem in Berserk,
Cocoon of Evolution,
Fishborg Doctor,
Chain Detonation,
Super Roboyarou,
Lava Battleguard,
Mechanical Hound,Foil
Sand Moth,
Cyber Kirin,
Grapple Blocker,
Dragunity Angusticlavii,
Interceptomato,
Performapal Sellshell Crab,
Crawling Dragon,
Hero of the East,
Magical Labyrinth,
Legendary Black Belt,Foil
Impenetrable Formation,
Self-Mummification,
Nitwit Outwit,
Trust Guardian,
Hunter of Black Feathers,
Purushaddoll Aeon,
Elemental HERO Necroid Shaman,
Hysteric Fairy,
Don Turtle,
Blazing Hiita,
Blade Bounzer,
Aquaactress Tetra,
Majespecter Fox - Kyubi,
Grappler,
Woodborg Inpachi,
Cold Feet,
Shiranui Style Synthesis,
Frightfur Reborn,
Curse of Royal,
Fruits of Kozaky's Studies,
Introduction to Gallantry,
An Unfortunate Report,
Ghosts From the Past,
Flying Fortress SKY FIRE,
Jackpot 7,
Pendulum Area,
Verdant Sanctuary,
Dark Artist,
Jirai Gumo,
Whirlwind Prodigy,
Magna Drago,
Fabled Ashenveil,
Blackwing - Jin the Rain Shadow,
Performapal Turn Trooper,
Enchanting Mermaid,
The Furious Sea King,
Launcher Spider,
The Portrait's Secret,Foil
Double Snare,
Solomon's Lawbook,
The First Sarcophagus,
Rain Storm,
World Legacy Collapse,
Five-Headed Dragon,
"Burner, Dragon Ruler of Sparks",
Hidden Springs of the Far East,Foil
YZ-Tank Dragon,
Trap Reactor - Y FI,
Card of Sacrifice,
Face-Off,
Bitelon,
Fabled Ashenveil,
Top Runner,Foil
Toad Master,
Gatekeeper,
Sword Slasher,
Giga-Tech Wolf,
Smashing Ground,
Branch!,
Final Gesture,
Fire Prison,
Desert Sunlight,Foil
Chain Burst,
Galaxy Stealth Dragon,
"Exxod, Master of the Guard",
Night Papilloperative,
Dupe Frog,
Spell Reactor - RE,
Ballista Squad,
Pandemonium Watchbear,
Desertapir,
Cyber Laser Dragon,
Izanami,
Nitro Synchron,
Ancient Crimson Ape,
Constellar Acubens,
Tasuke Knight,Foil
Malicevorous Spoon,
Wood Clown,
Launcher Spider,
Guardragon Justica,
Vengeful Bog Spirit,
Sealing Ceremony of Suiton,
"Sophia, Goddess of Rebirth",
Paraonic Guardian Sphinx,
Magician of Faith,
Kaiser Sea Horse,
Electric Virus,
Geargiattacker,
Gorgonic Ghoul,
Dicelops,Foil
Serpent Night Dragon,
Swords of Burning Light,
D.3.S. Frog,
4-Starred Ladybug of Doom,
Des Frog,
Swift Birdman Joe,
Masked Chopper,
Crashbug X,
Armaill,
Abyssal Designator,
Numinous Healer,
Fine,
One Day of Peace,
Dark Magic Veil,Foil
Kickfire,
Deepsea Shark,
Elemental HERO Mariner,
Little-Winguard,Foil
Dark Magician Knight,
Naturia Vein,
Shien's Advisor,
Larvas,
Claw Reacher,
Dancing Elf,
Ocubeam,
Aqua Snake,Foil
Miracle Dig,
Knight's Title,
Flint Missle,
Hidden Spellbook,
Penalty Game!,
Weed Out,
Soul Drain Dragon,
Spell Chronicle,
Detonate,
The Little Swordsman of Aile,
Jigen Bakudan,
Roulette Barrel,
Destruction Cyclone,
Power Injector,
Earthquake Giant,
Spirit of the Winds,
Monstrutle,
Ryu-Kishin Powered,
Nekogal #2,
A Wingbeat of Giant Dragon,Foil
Rocket Pilder,
Call of the Grave,
Numinous Healer,Foil
Aqua Chorous,
Fruits of Kozaky's Studies,
No Entry!!,
Gem-Knight Aquamarine,
Genesis Dragon,
Turret Warrior,
Tainted Wisdom,
Wroughtweiler,
Fossil Tusker,
Super Defense Robot Lio,
Noble Knight Eachtar,
Lord of Zemia,
Fiend Sword,
Hitodenchak,
Steel Ogre Grotto #1,
Roboyarou,
Chu-Ske the Mouse Fighter,
After the Struggle,
Spider Web,
Painful Return,
Trap Reclamation,
Utopian Aura,
Performapal Revival,
Chthonian Emperor Dragon,
Possessed Dark Soul,
Fenrir,
Blast Asmodian,
Phantom Beast Thunder-Pegasus,
Featherizer,
Balloon Lizard,
Element Magician,
Flint Lock,
Infinity Dark,Foil
Mabarrel,Foil
Soul Release,
Back to Square One,
Kaminote Blow,
Cyclone Blade,
Gladiator Beast's Battle Halberd,
Resonance Device,Foil
Child's Play,Foil
Miracle Restoring,
Absolute End,
Time Wizard,
Infernal Flame Emperor,Foil
Discord,
Twin-Headed Wolf,
Combo Master,
Des Mosquito,
Performapal Drummerilla,
Flame Manipulator,
Akakieisu,Foil
Twin Long Rods #2,
Acid Crawler,
Crowned by the World Chalice,
Steel Shell,
Cyclone Boomerang,
Paralyzing Chain,
Full-Force Strike,
White Hole,
Narrow Pass,
Psychic Soul,
Full House,
The Rock Spirit,
Destiny HERO - Dasher,
Dimensional Alchemist,
Noble Knight Pellinore,
ESP Amplifier,
Little-Winguard,
8-Claws Scorpion,
Freezing Beast,
Catnipped Kitty,
Gemini Summoner,
Regenerating Rose,
Samurai Sword Baron,
Flyfang,
Super Defense Robot Lio,
Wicked Dragon with the Ersatz Head,
Luster Dragon,Foil
Legendary Sword,
Scroll of Bewitchment,
Senet Switch,
Icy Crevasse,
D.D. Dynamite,
Phantom Beast Cross-Wing,
Golden Ladybug,Foil
Nimble Manta,
Dedication through Light and Darkness,
Dust Storm of Gusto,
Element Soldier,
Genex Furnace,
Divine Dragon Aquabizarre,
Quick-Span Knight,
Gillagillancer,
Dinomist Plesios,
Big Insect,
Disk Magician,
Mekk-Knight Avram,Foil
Vengeful Servant,
Graverobber's Retribution,
Formation Union,
D/D Recruits,
Orcustrated Attack,
Fusionist,
Dimensional Alchemist,
Genetic Woman,
Gora Turtle,
Dark Scorpion - Cliff the Trap Remover,
Blood Sucker,
Inzektor Ant,
Performapal Gumgumouton,
Igknight Paladin,
Doron,
Aqua Snake,
Crow Goblin,
Hunter Spider,
Red Medicine,
Rain of Mercy,
Ekibyo Drakmord,
Photon Generator Unit,
Sealing Ceremony of Mokuton,
Bug Emergency,
Cynet Refresh,
Hyper Hammerhead,
Cloudian - Nimbusman,
Cloudian - Nimbusman,
Amarylease,
Chain Summon,
Penguin Soldier,
Bazoo the Soul-Eater,
Cobraman Sakuzy,
Iron Chain Coil,Foil
Rapid Warrior,
Aquaactress Tetra,
Trickstar Mandrake,Foil
Igknight Veteran,
Big Insect,
Rock Spirit,
Monster Recovery,
Rocket Pilder,
Formation Union,
Synchro Deflector,
Five Brothers Explosion,
Pot of Dichotomy,
Mazera DeVille,
Great Poseidon Beetle,
Muko,
Spirit Barrier,
Tyrant's Tirade,Foil
Fire Sorcerer,
Dragon Manipulator,
Freezing Beast,
Maju Garzett,
Jutte Fighter,
Skystarray,
Phantom Bounzer,Foil
Dark Rabbit,
Behegon,
The Thing That Hides in the Mud,
Melchid the Four-Face Beast,
Rain of Mercy,
Poison Chain,
Cursed Bill,
"Leo, the Keeper of the Sacred Tree",
Des Koala,
Phantom Beast Rock-Lizard,
Super-Ancient Dinobeast,
Esper Girl,
Secret Sect Druid Dru,
Shogi Lance,
Assault Dog,
Mystical Wind Typhoon,
Light of Intervention,
Photon Caesar,
Ogre of the Black Shadow,
Giganto,
The Thing That Hides in the Mud,
The A. Forces,
Silent Doom,
Ascending Soul,
